flag,regex,group,criminal_or_civil,genre,word_boundary,examples,notes
felony_enhancement,\b(afc|afcf|afcs)\b,NA,Criminal Charge,Criminal Modifier,Yes,W/AFC; AFCS; AFC,"This is a thing that gets added onto other charges, it means that there are other felony charges filed that they're going to use to enhance the sentence / etc for that charge. So like if you got caught with drugs and have other outstanding/pending felony drug cases or whatever, they can hit you harder the second time. That's what I think is happening at least"
maintain_keep,\b(maind)\b|\b(mainta[A-Za-z]*)\b|\b(keep[A-Za-z]*)\b,NA,Criminal Charge,Criminal Modifier,Yes,keeping a facility for cockfighting; failure to maintain security; maintaining a dwelling where a cds was kept; etc,"""MAIND"" is a code that indicates ""maintaining a place where CDS kept"" or related."
operate,\b(operat[A-Za-z]*)\b,NA,Criminal Charge,Criminal Modifier,Yes,operating a motor vehicle; operating a house of prostitution;,"I kept this separate from ""maintain_keep"" because there are a ton of ""operating"" ones related to motor vehicles. I think it could be combined without causing any issues though tbh"
manufacture,\b(ma(n|u)[A-Za-z]*(re|ing))\b|\b(manu(f|))\b,NA,Criminal Charge,Criminal Modifier,Yes,manufacture cds; manufacture child pornography; manu. cds; manufacturing cds; manufacture false ID,NA
within_x_feet,[0-9]+\s*(feet|ft|\'),NA,Criminal Charge,Criminal Modifier,No,"1000 feet; 1000ft; 2,000 feet; 1000'",NA
school,\b(school(s|)|schl(s|))\b,NA,Criminal Charge,Criminal Modifier,Yes,...within XXX feet of a school; schl; schools; schls,usually for drug stuff
park,\b(park(s|)|prk(s|))\b,NA,Criminal Charge,Criminal Modifier,Yes,...within XXX feet of a state park; prk; prks,usually for drug stuff
aid_abet,\b(aid(ing)*)\b|\b(abet(ting)*)\b,NA,Criminal Charge,Criminal Modifier,Yes,aid / abet; aiding / abetting; aiding; abetting; abeting,Doesn't account for other misspellings bc I didn't really find any that weren't covered
attempted,at[a-z]+pt,NA,NA,Criminal Modifier,No,attempt; attempted; attpt; attempting,NA
grand,"\b(grand|gran|g(r|t|a)[a-z]{1,3}(n|m|b|a)d)\b",NA,NA,Criminal Modifier,Yes,"grand, gramd, grabd, garnd, etc.","Usually refers to grand larceny, but can also be stuff like ""Grand jury"", ""grand theft auto"", etc"
petit,petit(?!ion),NA,NA,Criminal Modifier,No,"petit; petitt; petitit; etc. Won't match ""petition"" because of the negative lookahead ""?!ion""",NA
identity,\b(identity|dentity|idenity|indentity|identiiy)\b,NA,NA,Criminal Modifier,No,"identity / ""dentity"" and other typos",NA
intent,\b(intent|itnent|iontent|int)\b,NA,NA,Criminal Modifier,Yes,"Entering with intent to steal; etc. Also ""itnent"" and other typos. ""Internet"" is typod at least once, but that's so egregious it shouldn't be included IMO",NA
resist,resis(?!tra),NA,NA,Criminal Modifier,No,resist; resisting; resistance;,"Just this short exact match w/ no word boundary seems to be the best bet. Also added a lookahead because ""resistration"" is a common typo for ""registration"""
degree,deg|de(c|f|)ree,NA,NA,Criminal Modifier,No,degree; decree; defree; deree,"Captures ""degree"" and all mispellings I could find. The stems were more efficient than a ""X from this set"" strategy"
cds,"\b(c([\.\,]*)d([\.\,]*)(s([\.\,]*))*)\b",any_drugs,Criminal Charge,Drugs,Yes,"CDS; C.D.S.; CD; C.D.; C,D,S,","The periods or commas / the ""S"" are optional"
drug_synonyms,drug|substance|narcot|controlled dangerous sub|ucds,any_drugs,Criminal Charge,Drugs,No,drug; substance; narcotic,"There's also ""assault with a dangerous substance"" that seems to be getting picked up. Need an exclusion probably."
marijuana,mar.*na|mj|mari|thc|canna|cannb,any_drugs,Criminal Charge,Drugs,No,"all variations of ""mar...na""; MJ; mari...; 
thc; canna...; tetrahydrocannabinols;",NA
fentanyl,fent,any_drugs,Criminal Charge,Drugs,No,"all variations of ""fentanyl""",NA
cocaine,coca,any_drugs,Criminal Charge,Drugs,No,"all variations of ""cocaine""","Searched for ""crack"" and other related terms and didn't see anything"
meth,\b(me.*mi[nm]*e|am.*mi[nm]*e|meth)\b,any_drugs,Criminal Charge,Drugs,Yes,me...mine; me...minne; am...mine; meth; etc.,"Captures most typos too; word boundary means it won't capture ""method"", etc."
paraphernalia,\b(par[A-Za-z]*a)\b|papher|paara|nalia,any_drugs,Criminal Charge,Drugs,Yes,par...a; paphernala; paaraaphernlia; drugparaphernalia; etc.,NA
stamp,stamp,NA,Criminal Charge,Drugs,No,tax stamp; drug stamp; food stamp,"This is usually going to be drug tax stamp, but could also be food stamps, etc."
eviction,RENT|FORCI|EVICT|DETAIN,NA,Civil Issue,Evictions,No,FORCIBLE ENTRY & DETAINER <$5000.00.; EVICTION; SMALL CLAIMS EVICTION-UNDER 5000,NA
first,first|frist|fisrt|frst|fist|firsr|firs|forst|firts|firest|1\s*st,NA,NA,Misc. Concept,No,first; 1st,NA
second,"s[econd]{4,}|sec0nd|seciond|sevcond|2\s*nd",NA,NA,Misc. Concept,No,second; 2nd,NA
third,third|thrid|3\s*(r|t)d,NA,NA,Misc. Concept,No,third; 3rd,NA
fourth,fourth|fouth|forth|4\s*th,NA,NA,Misc. Concept,No,fourth; 4th,NA
fifth,fifth|5\s*th,NA,NA,Misc. Concept,No,fifth; 5th,NA
one,\b((?<!count )(one|1|i))\b,NA,NA,Misc. Concept,Yes,burglary i; burglary 1,"The lookback ""?!count ""excludes ""COUNT ONE"" / ""COUNT 1"" / etc. bc this is a common thing that gets added but has nothing to do with the charge itself"
two,\b((?<!count )(two|2|ii))\b,NA,NA,Misc. Concept,Yes,NA,NA
three,\b((?<!count )(three|3|iii))\b,NA,NA,Misc. Concept,Yes,NA,NA
four,\b((?<!count )(four|4|iv))\b,NA,NA,Misc. Concept,Yes,NA,NA
five,\b((?<!count )(five|5))\b,NA,NA,Misc. Concept,Yes,NA,NA
distribution,\b(distr[A-Za-z]*e|distr[A-Za-z]*n|dist)\b,NA,Criminal Charge,Misc. Criminal,Yes,distr...e; distr...n; dist,"This one isn't great because there are some false positives on ""DIST"", like sometimes ""disturbing the peace"" gets shortened to that as well. We either need to add an exclusion or be careful of that with the flags. Also, note that it usually refers to drugs but can be other stuff like CSA materials and jail contraband and stuff like that."
weapon,\b(weap.*|firearm(s*)|fire arm(s*))\b|weapon,NA,Criminal Charge,Misc. Criminal,Yes,weapon; fire arm; firearm; weap; dangerousweapon,"The extra ""weapon"" outside the word boundary is for cases where there's an exact word match but no space, like ""DANGEROUSWEAPON"""
traffic_or_traffick,traffic,NA,Criminal Charge,Misc. Criminal,No,traffic; trafficking; etc.,"There are too many typos to distinguish between traffic / traffick consistently, so we'll have to add exceptions or just use this as a building block and combine it with the drug flags and stuff as needed."
possess,poss|posess|\b(pos)\b,NA,Criminal Charge,Misc. Criminal,No,possession; possess; possessing; poisesion; poss; pos; posession,NA
tax,\b(tax)\b,NA,Criminal Charge,Misc. Criminal,Yes,tax; fail to pay taxes; tax stamp,NA
proceed,\b(proce[A-Za-z]*d(s*))\b,NA,Criminal Charge,Misc. Criminal,Yes,acquire proceeds; proceds; proceeeds; etc.,"Usually drug related, but not 100% of the time"
dui_or_apc,\b((x)*dui(d)*|apc)\b|under( the)* inf|actual phys,NA,Criminal Charge,Misc. Criminal,Yes,dui; apc; driving under the influence; driving under influence; actual physical control; xdui; duid,"Word boundary only applies to ""[x]dui[d]"" and ""apc"""
